FID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape__Area,Shape__Length,GlobalID
1,Alaska,02,Pacific,AK,744733,1.300000000000000,710231,1.200000000000000,473576,23263,104871,38135,7409,39249,11102,51875,369628,340603,53996,50887,50816,52141,54419,103125,92974,111026,85909,35350,14877,4711,33.899999999999999,33.700000000000003,34.100000000000001,258058,2.650000000000000,37714,28359,61869,65689,10237,20149,170750,3.210000000000000,306967,48909,162765,95293,762.000000000000000,1094.000000000000000,84114.000000000000000,77329.000000000000000,581369.170000000041910,8101401247192.648437500000000,59249543.508504576981068,{00000000-0000-0000-0000-000000000000}
2,California,06,Pacific,CA,39611295,250.500000000000000,37253956,235.599999999999994,21453934,2299072,362801,4861007,144386,14013719,6317372,1815384,18517830,18736126,2531333,2505839,2590930,2823940,2765949,5317877,5182710,5252371,4036493,2275336,1370210,600968,35.200000000000003,34.000000000000000,36.299999999999997,12577498,2.900000000000000,1311878,1617564,3178557,3034753,428189,1040864,8642473,3.450000000000000,13680081,1102583,7035371,5542127,77857.000000000000000,328.000000000000000,9591783.000000000000000,547510.000000000000000,158144.829999999987194,647979886894.316406250000000,5237952.377097547985613,{00000000-0000-0000-0000-000000000000}
3,Hawaii,15,Pacific,HI,1461211,227.300000000000011,1360301,211.599999999999994,336599,21424,4164,525078,135422,120842,16985,320629,681243,679058,87407,83361,81539,85994,95829,185333,176373,193765,175562,100523,64377,30238,38.500000000000000,37.100000000000001,39.899999999999999,455338,2.890000000000000,51465,54710,106290,123786,14196,32764,313907,3.420000000000000,519508,64170,262682,192656,7000.000000000000000,161.000000000000000,174042.000000000000000,94478.000000000000000,6429.380000000000109,18880665255.351562500000000,1370185.236623313510790,{00000000-0000-0000-0000-000000000000}
4,Idaho,16,Mountain,ID,1714694,20.500000000000000,1567582,18.800000000000001,1396487,9810,21441,19069,2317,175901,79523,38935,785324,782258,121772,121195,116955,115359,108209,208965,191609,208537,180313,109534,59892,25242,34.600000000000001,33.799999999999997,35.399999999999999,579408,2.660000000000000,64386,73399,146777,173613,17912,38905,403144,3.160000000000000,667796,88388,404903,174505,24816.000000000000000,474.000000000000000,5793347.000000000000000,314372.000000000000000,83570.139999999999418,423521380007.621093750000000,3858889.212864857632667,{00000000-0000-0000-0000-000000000000}
5,Nevada,32,Mountain,NV,2994047,27.100000000000001,2700551,24.399999999999999,1786688,218626,32062,195436,16871,716501,324793,126075,1363616,1336935,187478,183077,183173,182600,177509,387286,383043,376527,315499,197781,96391,30187,36.299999999999997,35.799999999999997,36.799999999999997,1006250,2.650000000000000,134121,124288,212405,250104,39193,83426,656621,3.200000000000000,1173814,167564,591480,414770,4137.000000000000000,1429.000000000000000,756852.000000000000000,184710.000000000000000,110561.369999999995343,480710125514.066406250000000,3025638.815003900323063,{00000000-0000-0000-0000-000000000000}
6,Oregon,41,Pacific,OR,4122334,42.500000000000000,3831074,39.500000000000000,3204614,69206,53203,141263,13404,450062,204625,144759,1896002,1935072,237556,237214,242553,254860,253048,524144,499525,539075,509566,290041,165620,77872,38.299999999999997,37.200000000000003,39.399999999999999,1518938,2.470000000000000,185048,231699,300456,433285,42862,105011,963467,3.000000000000000,1675562,156624,944485,574453,35439.000000000000000,460.000000000000000,4690420.000000000000000,137805.000000000000000,97076.809999999997672,485303511185.316406250000000,3152829.235599451698363,{00000000-0000-0000-0000-000000000000}
7,Washington,53,Pacific,WA,7311450,108.099999999999994,6724540,99.400000000000006,5196362,240042,103869,481067,40475,755790,349799,312926,3349707,3374833,439657,429877,438233,462128,461512,933781,908305,988205,835165,457220,253186,117271,37.200000000000003,36.200000000000003,38.200000000000003,2620076,2.510000000000000,331357,380262,563755,725094,75160,183425,1687455,3.060000000000000,2885677,265601,1673920,946156,37249.000000000000000,396.000000000000000,7526742.000000000000000,244859.000000000000000,67620.679999999993015,379885502540.609375000000000,4578373.231229814700782,{00000000-0000-0000-0000-000000000000}
8,Arizona,04,Mountain,AZ,7031568,61.700000000000003,6392017,56.100000000000001,4667121,259008,296529,176695,12648,1895149,761716,218300,3175823,3216194,455715,453680,448664,461582,442584,856693,822494,842546,726228,497892,280539,103400,35.899999999999999,34.799999999999997,37.100000000000001,2380990,2.630000000000000,288621,332387,502411,643625,84389,201425,1576520,3.190000000000000,2844526,463536,1571687,809303,20005.000000000000000,1312.000000000000000,1150811.000000000000000,186559.000000000000000,113997.770000000004075,433153359475.226562500000000,2831600.601190074812621,{00000000-0000-0000-0000-000000000000}
9,Arkansas,05,West South Central,AR,3041640,57.200000000000003,2915918,54.799999999999997,2245229,449895,22248,36102,5863,186050,99571,57010,1431637,1484281,197689,196877,197559,203805,199650,375892,366208,407266,350991,234602,133977,51402,37.399999999999999,36.100000000000001,38.600000000000001,1147084,2.470000000000000,140429,170363,236647,331630,32152,104738,775811,3.000000000000000,1316299,169215,768156,378928,45071.000000000000000,306.000000000000000,7931111.000000000000000,216897.000000000000000,53178.769999999996799,204294428990.359375000000000,2514666.060031335800886,{00000000-0000-0000-0000-000000000000}
10,Colorado,08,Mountain,CO,5594670,53.700000000000003,5029196,48.299999999999997,4089202,201737,56010,139028,6623,1038687,364140,172456,2520662,2508534,343960,348603,332654,339475,348615,726278,699644,742698,597644,309960,170052,69613,36.100000000000001,35.100000000000001,37.000000000000000,1972868,2.490000000000000,261384,289410,445721,525676,55903,135315,1261527,3.080000000000000,2212898,240030,1293100,679768,36180.000000000000000,881.000000000000000,10649747.000000000000000,215060.000000000000000,104093.949999999997090,447332326993.492187500000000,2708162.621720285620540,{00000000-0000-0000-0000-000000000000}
11,Iowa,19,West North Central,IA,3199548,56.899999999999999,3046355,54.100000000000001,2781561,89148,11084,53094,2003,151544,56132,53333,1508319,1538036,202123,200646,200904,216837,213350,382583,364548,439726,372750,224656,153574,74658,38.000000000000000,36.600000000000001,39.500000000000000,1221576,2.410000000000000,156260,191219,255151,370022,32938,79718,790034,2.970000000000000,1336417,114841,880635,340941,88637.000000000000000,345.000000000000000,26256347.000000000000000,347728.000000000000000,56272.819999999999709,264744440906.148437500000000,2296490.740572778973728,{00000000-0000-0000-0000-000000000000}
12,Kansas,20,West North Central,KS,2970523,36.100000000000001,2853118,34.700000000000003,2391044,167864,28150,67762,2238,300042,110127,85933,1415408,1437710,205492,202447,198884,203821,204454,377720,346673,406264,331247,190389,126409,59318,36.000000000000000,34.700000000000003,37.299999999999997,1112096,2.490000000000000,140529,168809,250118,318191,32147,81709,734103,3.060000000000000,1233215,121119,753532,358564,61773.000000000000000,747.000000000000000,28503265.000000000000000,298845.000000000000000,82277.970000000001164,348078970838.738281250000000,2531056.459119866136461,{00000000-0000-0000-0000-000000000000}
13,Louisiana,22,West South Central,LA,4786046,102.299999999999997,4533372,96.900000000000006,2836192,1452396,30579,70132,1963,192560,69227,72883,2219292,2314080,314260,306362,306836,326779,338309,628433,564599,654375,535562,311994,180177,65686,35.799999999999997,34.500000000000000,37.100000000000001,1728360,2.550000000000000,216299,248035,337498,430700,54655,199272,1160118,3.100000000000000,1964981,236621,1162299,566061,28093.000000000000000,281.000000000000000,4275637.000000000000000,135600.000000000000000,46776.059999999997672,162486388877.496093750000000,3846228.476150783710182,{00000000-0000-0000-0000-000000000000}
14,Minnesota,27,West North Central,MN,5604047,66.400000000000006,5303925,62.899999999999999,4524062,274412,60916,214234,2156,250258,103000,125145,2632132,2671793,355504,355536,352342,367829,355651,715586,681094,807898,629364,354427,222030,106664,37.299999999999997,36.200000000000003,38.299999999999997,2087227,2.480000000000000,264076,319932,459038,601471,54110,136459,1349015,3.050000000000000,2347201,259974,1523859,563368,74542.000000000000000,349.000000000000000,21597136.000000000000000,285479.000000000000000,84376.210000000006403,459465920807.988281250000000,3825631.045705090276897,{00000000-0000-0000-0000-000000000000}
15,Missouri,29,West North Central,MO,6191231,88.799999999999997,5988927,85.900000000000006,4958770,693391,27376,98083,6261,212470,80457,124589,2933477,3055450,390237,390463,396925,423786,413289,775467,748616,888572,723278,450490,274025,113779,37.799999999999997,36.399999999999999,39.100000000000001,2375611,2.450000000000000,298358,373918,479864,671065,66668,195712,1552133,3.000000000000000,2712729,337118,1633610,742001,99171.000000000000000,285.000000000000000,15259319.000000000000000,92415.000000000000000,69702.889999999999418,294869211148.207031250000000,2892119.912559558637440,{00000000-0000-0000-0000-000000000000}
16,Montana,30,Mountain,MT,1059459,7.200000000000000,989415,6.700000000000000,884961,4027,62555,6253,668,28565,5975,24976,496667,492748,62423,60765,61124,66724,67138,122864,112945,149832,138858,80742,45979,20021,39.799999999999997,38.700000000000003,41.000000000000000,409607,2.350000000000000,59524,62251,77236,124375,11894,25539,257087,2.910000000000000,482825,73218,278418,131189,28008.000000000000000,2134.000000000000000,17022177.000000000000000,151031.000000000000000,147042.709999999991851,821174410173.882812500000000,4337068.306413680315018,{00000000-0000-0000-0000-000000000000}
17,Nebraska,31,West North Central,NE,1938966,25.100000000000001,1826341,23.600000000000001,1572838,82885,18427,32293,1279,167405,79109,39510,906296,920045,131908,128928,122706,128930,129276,245176,220838,258726,213176,123126,84243,39308,36.200000000000003,35.000000000000000,37.399999999999999,721130,2.460000000000000,94836,111971,159338,206920,18692,49762,467206,3.040000000000000,796793,75663,484730,236400,49969.000000000000000,907.000000000000000,21597393.000000000000000,461661.000000000000000,77353.009999999994761,357728144683.042968750000000,2818945.127971481997520,{00000000-0000-0000-0000-000000000000}
18,New Mexico,35,Mountain,NM,2119862,17.399999999999999,2059179,16.899999999999999,1407876,42550,193222,28208,1810,953403,308503,77010,1017421,1041758,144981,143308,141691,149861,142370,267245,248523,292009,256936,153794,86468,31993,36.600000000000001,35.299999999999997,37.899999999999999,791395,2.550000000000000,106107,115240,156795,201559,31618,75191,518698,3.130000000000000,901388,109993,542122,249273,24721.000000000000000,1748.000000000000000,1976689.000000000000000,103157.000000000000000,121588.619999999995343,465060549175.273437500000000,2883357.173096733633429,{00000000-0000-0000-0000-000000000000}
19,North Dakota,38,West North Central,ND,793399,11.199999999999999,672591,9.500000000000000,605449,7960,36591,6909,320,13467,3509,11853,339864,332727,44595,40076,39790,47474,58956,90485,75262,96657,81819,46873,33916,16688,37.000000000000000,35.500000000000000,38.600000000000001,281192,2.300000000000000,43478,45085,54267,82255,6846,16128,170916,2.910000000000000,317498,36306,183943,97249,30961.000000000000000,1268.000000000000000,27147240.000000000000000,353693.000000000000000,70700.020000000004075,400989888326.039062500000000,2688189.824233281891793,{00000000-0000-0000-0000-000000000000}
20,Oklahoma,40,West South Central,OK,4027541,57.600000000000001,3751351,53.700000000000003,2706845,277644,321687,65076,4369,332007,154409,221321,1856977,1894374,264126,259336,253664,264484,269242,506755,460937,525611,440482,280467,164335,61912,36.200000000000003,34.899999999999999,37.600000000000001,1460450,2.490000000000000,182997,218156,311230,411205,45542,122265,975267,3.040000000000000,1664378,203928,981760,478690,80245.000000000000000,428.000000000000000,11279031.000000000000000,88848.000000000000000,69900.139999999999418,274823326219.710937500000000,3061747.707204112783074,{00000000-0000-0000-0000-000000000000}
21,South Dakota,46,West North Central,SD,880051,11.400000000000000,814180,10.600000000000000,699392,10207,71817,7610,394,22119,7477,17283,407381,406799,59621,55531,53960,57628,57596,105429,93112,116918,97804,57627,39728,19226,36.899999999999999,35.600000000000001,38.200000000000003,322282,2.420000000000000,44920,49718,66327,95290,9309,23009,206964,3.000000000000000,363438,41156,219558,102724,31989.000000000000000,1352.000000000000000,19147320.000000000000000,317929.000000000000000,77116.220000000001164,392302335744.359375000000000,2824245.235541229601949,{00000000-0000-0000-0000-000000000000}
22,Texas,48,West South Central,TX,28296099,106.900000000000006,25145561,95.000000000000000,17701552,2979598,170972,964596,21656,9460921,2628186,679001,12472280,12673281,1928473,1928234,1881883,1883124,1817079,3613473,3458382,3435336,2597691,1472256,824451,305179,33.600000000000001,32.600000000000001,34.600000000000001,8922933,2.750000000000000,1014605,1148661,2298253,2216760,273431,862849,6237148,3.310000000000000,9977436,1054503,5685353,3237580,248809.000000000000000,523.000000000000000,29147537.000000000000000,101988.000000000000000,264778.770000000018626,946670152546.230468750000000,7793795.477902069687843,{00000000-0000-0000-0000-000000000000}
23,Utah,49,Mountain,UT,3113215,36.700000000000003,2763885,32.600000000000001,2379560,29287,32927,55285,24554,358340,166754,75518,1388317,1375568,263924,249572,227951,221090,226519,445687,332475,306964,240241,138224,80247,30991,29.199999999999999,28.699999999999999,29.699999999999999,877692,3.100000000000000,75819,88199,295560,240267,23303,57052,660234,3.560000000000000,979709,102017,618137,259555,18027.000000000000000,609.000000000000000,1645898.000000000000000,100746.000000000000000,84898.130000000004657,368158999905.851562500000000,2556138.804276559036225,{00000000-0000-0000-0000-000000000000}
24,Wyoming,56,Mountain,WY,598332,6.100000000000000,563626,5.800000000000000,511279,4748,13336,4426,427,50231,17049,12361,287437,276189,40203,37213,35955,38142,40318,77649,66966,83577,73513,39568,21920,8602,36.799999999999997,36.000000000000000,37.700000000000003,226879,2.420000000000000,33252,30228,47222,68312,7209,14435,146644,2.960000000000000,261868,34989,157077,69802,11736.000000000000000,2587.000000000000000,2418931.000000000000000,143952.000000000000000,97813.889999999999418,474117105945.761718750000000,2775149.430912992451340,{00000000-0000-0000-0000-000000000000}
25,Alabama,01,East South Central,AL,4951876,95.900000000000006,4779736,92.500000000000000,3275394,1251311,28218,53595,3057,185602,96910,71251,2320188,2459548,304957,308229,319655,343471,335322,608922,619501,693854,588033,370501,211607,75684,37.700000000000003,36.399999999999999,39.100000000000001,1883791,2.480000000000000,229989,286707,382561,519995,45910,187487,1276440,3.020000000000000,2171853,288062,1312589,571202,43223.000000000000000,206.000000000000000,2758521.000000000000000,128894.000000000000000,51649.050000000002910,190202013218.619140625000000,2121357.930665770079941,{00000000-0000-0000-0000-000000000000}
